委托时间,成交时间,交易方向,成交价格,成交金额,成交额(股票数),手续费,现金余额,持仓股票数量
1725677400000,1725730200000,卖出,54081.63265306123,288.4353741496599,0.0026666666666666666,0.2163265306122449,4843.484353741496,0.13599999999999998
1725835800000,1725888600000,卖出,55102.04081632653,293.87755102040813,0.0026666666666666666,0.2204081632653061,5137.141496598639,0.13066666666666663
1725888600000,1725941400000,卖出,56122.448979591834,299.31972789115645,0.0026666666666666666,0.22448979591836735,5436.236734693877,0.12533333333333327
1725941400000,1725994200000,卖出,57142.857142857145,152.38095238095238,0.0026666666666666666,0.11428571428571428,5588.503401360544,0.1226666666666666
1725994200000,1726047000000,买入,57142.857142857145,152.38095238095238,0.0026666666666666666,0.11428571428571428,5436.0081632653055,0.12533333333333327
1726047000000,1726099800000,卖出,57142.857142857145,152.38095238095238,0.0026666666666666666,0.11428571428571428,5588.274829931972,0.1226666666666666
1726205400000,1726258200000,卖出,58163.26530612245,155.10204081632654,0.0026666666666666666,0.1163265306122449,5743.260544217686,0.11999999999999994
1726205400000,1726258200000,卖出,59183.67346938775,157.82312925170066,0.0026666666666666666,0.1183673469387755,5900.965306122448,0.11733333333333328
1726311000000,1726363800000,卖出,60204.08163265306,160.54421768707482,0.0026666666666666666,0.12040816326530612,6061.389115646258,0.11466666666666661
1726416600000,1726469400000,买入,59183.67346938775,157.82312925170066,0.0026666666666666666,0.1183673469387755,5903.447619047618,0.11733333333333328
1726416600000,1726469400000,买入,60204.08163265306,160.54421768707482,0.0026666666666666666,0.12040816326530612,5742.782993197278,0.11999999999999994
1726469400000,1726522200000,买入,58163.26530612245,155.10204081632654,0.0026666666666666666,0.1163265306122449,5587.564625850339,0.1226666666666666
1726522200000,1726575000000,卖出,58163.26530612245,155.10204081632654,0.0026666666666666666,0.1163265306122449,5742.550340136054,0.11999999999999994
1726522200000,1726575000000,卖出,59183.67346938775,157.82312925170066,0.0026666666666666666,0.1183673469387755,5900.2551020408155,0.11733333333333328
1726575000000,1726627800000,卖出,60204.08163265306,160.54421768707482,0.0026666666666666666,0.12040816326530612,6060.678911564625,0.11466666666666661
